protein,abundance
P41159,62.204646895662265
P01308,41.59876126846292
P37231,59.34464654002938
Q15848,86.6098432801536
P05231,55.90590265127587
P01375,59.73016512516139
Q12778,54.48507367274226
P35568,40.040884837276195
Q96EB6,27.45189133542584
P14672,37.235211284401736
P31749,39.09012418292896
P01275,53.08096186245905
P05019,25.04760291068829
P01584,29.280980862323595
O60674,29.105461502990998
P28482,72.08879104254055
P42345,41.34719261188541
P29474,51.95364159080012
Q9HAV5,34.66406157318302
O14543,58.37094301849971
P40763,55.11987474867509
P36897,36.924818938346434
P15692,34.309235947484424
Q16665,21.153510909882293
P50416,13.182414477385272
P15090,39.03616937922923
P28845,18.891162899252862
P12955,30.963945902354897
P42336,35.68238815427289
Q9UBQ7,71.13942221647854
P02649,52.30469756723589
P16671,61.51656047857217
P33992,43.04582177051422
P09016,68.96183256433433
P35558,43.54086662332984
Q9UBK2,24.080384662451532
P35240,61.10945983375535
O60760,25.49694952601694
O00215,42.6536407424865
Q14126,71.99014612137299
