gene,expression
LEP,151.60319589556167
INS,139.977741289079
PPARG,123.40570211699318
ADIPOQ,101.92826500106622
IL6,108.24364517594
TNF,80.9369228968594
FOXO1,135.83553936088694
IRS1,127.651206374808
SIRT1,120.45153236427556
GLUT4,112.43148966407313
AKT1,100.22714917389797
GCG,106.63111025300097
IGF1,115.72029615992429
IL1B,90.5714537878644
JAK2,93.33251883671225
MAPK1,74.96301461364203
MTOR,88.42271383364867
NOS3,124.91952595912231
RETN,94.98629363274449
SOCS3,95.23229640234125
STAT3,104.76650548655678
TGFBR1,75.81659039238215
VEGFA,114.18072535131351
HIF1A,118.99610283059312
CPT1A,105.65944398190614
FABP4,124.77026479719235
HSD11B1,80.09752350796154
PDX1,127.65573696627769
PIK3CA,89.0388789515552
FTO,80.80120400105305
APOE,96.43912058189997
CD36,128.08008520708455
HNF4A,99.70836788650678
G6PC,86.01112515158378
SLC2A2,80.5758628828021
UCP1,98.4232224288038
UCP2,70.07557642663527
UCP3,80.4971073760984
SREBF1,123.14601477788625
NR3C1,119.84895710726855
POMC,98.07381780190438
LEPR,93.0150284311818
MC4R,100.87763353460267
NR0B2,135.21995392675484
ANGPTL4,106.07463263155788
APOA5,113.64607262439725
LPIN1,96.96313711252674
CIDEA,100.91344910675741
PLIN1,109.70744045180565
FASN,101.89142241736043
G6PD,71.53934526267014
IL10,119.20811142516196
GCK,90.77299483343005
PTEN,131.66976462424378
RAPTOR,110.30272769148957
CTNNB1,101.06458623459619
IGF2,106.58990710155152
MLXIPL,98.3725316715473
SLC27A1,92.70350850921459
HNF1A,103.1139739192858
KCNJ11,113.27485700779998
ABCA1,93.03205377032549
ABCG1,90.66644252640582
ANGPTL3,94.6676703862546
DGAT1,114.28016640770042
DGAT2,121.78825371193557
ACACA,105.43020867913705
PRKAA1,108.71971201053586
GYS1,90.55448714102332
PRKAB2,113.15131974928488
