protein,abundance
P41159,44.645941407872456
P01308,49.92571942221404
P37231,72.24134239517782
Q15848,93.40364590901102
P05231,46.57518062765593
P01375,65.34789080592837
Q12778,44.70953677072113
P35568,63.97197883974361
Q96EB6,36.58911426730432
P14672,18.84110084321093
P31749,25.371181973765363
P01275,49.04851956456607
P05019,7.038735509980196
P01584,37.94169940424207
O60674,25.42148884918915
P28482,62.89959457541037
P42345,53.86450767752762
P29474,35.80942593739932
Q9HAV5,40.587613961648486
O14543,36.965767774524
P40763,48.04120275754813
P36897,25.429564715114832
P15692,45.081906448391834
Q16665,25.50664189412909
P50416,22.4034879830702
P15090,29.423680890553456
P28845,18.689317588793028
P12955,23.936423076892808
P42336,26.425316251491747
Q9UBQ7,79.13053261805275
P02649,53.93408348185378
P16671,55.72697346569069
P33992,42.87714757029956
P09016,75.8904000445081
P35558,47.74283012569251
Q9UBK2,33.03358831529992
P35240,38.79658625203297
O60760,24.61838237459807
O00215,34.17479235204096
Q14126,51.977786211199344
