gene,expression
LEP,172.64067174504157
INS,163.70990582847588
PPARG,114.48883011939385
ADIPOQ,101.23082306729196
IL6,92.68907464118278
TNF,106.05730838018958
FOXO1,83.62914344059794
IRS1,87.74497841108659
SIRT1,122.64656968689435
GLUT4,106.03051720070383
AKT1,94.78709899340568
GCG,112.43708026877903
IGF1,119.30462445774391
IL1B,93.33043662631539
JAK2,93.58888086325787
MAPK1,91.71031339979491
MTOR,114.45775478073043
NOS3,114.60336171280186
RETN,120.78854981936648
SOCS3,115.12904424773254
STAT3,75.51672880857222
TGFBR1,104.21446481377299
VEGFA,84.12421895729422
HIF1A,92.30628437542877
CPT1A,102.55891305371294
FABP4,112.53348097524855
HSD11B1,86.63734986323384
PDX1,65.12920507821397
PIK3CA,102.70796262708147
FTO,139.65357375097824
APOE,96.95730670494771
CD36,100.70373152425388
HNF4A,126.73245427804119
G6PC,108.85411928592683
SLC2A2,103.25291555474408
UCP1,106.6317499797021
UCP2,103.75365898860473
UCP3,82.90368357764942
SREBF1,79.87832263300453
NR3C1,128.30242168186356
POMC,102.75825027857736
LEPR,101.50143163869548
MC4R,98.64658503915686
NR0B2,111.7160990142468
ANGPTL4,138.0803665260623
APOA5,107.8592900066169
LPIN1,91.17869760528171
CIDEA,97.99898713162683
PLIN1,116.06494700807883
FASN,91.25799097880504
G6PD,112.78369733545402
IL10,65.18893939032804
GCK,96.5518064283042
PTEN,109.42210020221005
RAPTOR,119.05188319863574
CTNNB1,87.72288674436413
IGF2,77.45852473554095
MLXIPL,96.08897252662271
SLC27A1,83.11871488379667
HNF1A,97.76444999905705
KCNJ11,99.90019818053143
ABCA1,80.21282432197083
ABCG1,112.06658665166297
ANGPTL3,97.64179159953324
DGAT1,116.20689803508024
DGAT2,72.3264213955586
ACACA,84.74211744181915
PRKAA1,107.75003962972184
GYS1,88.01334143762102
PRKAB2,97.53196512925456
