protein,abundance
P41159,66.45322103598645
P01308,70.1146264185654
P37231,59.300600910243745
Q15848,72.55186798863446
P05231,62.3788417997989
P01375,58.458501816128795
Q12778,31.273819165222918
P35568,52.853311408314156
Q96EB6,22.154306489724437
P14672,35.410291878477466
P31749,44.88691541549027
P01275,43.43522381554941
P05019,24.553630819851975
P01584,22.4713998075136
O60674,34.35308662303071
P28482,94.91316925714699
P42345,41.46481565720579
P29474,32.61612197266617
Q9HAV5,31.918022611597415
O14543,50.61430227656067
P40763,42.09438207937912
P36897,32.19867474642396
P15692,51.6852905709068
Q16665,19.925433588614887
P50416,24.028320350639135
P15090,24.85423893970501
P28845,11.421695511153022
P12955,21.46690335828034
P42336,44.512300007371614
Q9UBQ7,69.33887525414517
P02649,67.72596734186862
P16671,48.45251622782163
P33992,38.784996722065515
P09016,80.6210330621825
P35558,39.177206094374796
Q9UBK2,33.98066106776637
P35240,70.91101951446778
O60760,34.577735211527965
O00215,31.52937586896913
Q14126,53.73576834995397
