protein,abundance
P41159,45.949101193565745
P01308,67.03121595230004
P37231,32.120593134801865
Q15848,61.708652246274774
P05231,54.29663197067148
P01375,74.18175731588396
Q12778,49.05041366667193
P35568,54.32480420164429
Q96EB6,24.264109521209942
P14672,31.880592380983845
P31749,56.930101057972166
P01275,29.45156565293976
P05019,19.313987288218247
P01584,35.73355825631461
O60674,40.582621409879415
P28482,78.70317103100928
P42345,34.81881794886592
P29474,55.347931102454076
Q9HAV5,35.18377612141756
O14543,60.975224416970406
P40763,45.750952082500184
P36897,27.040297694439985
P15692,38.7939266871747
Q16665,20.952377259061436
P50416,25.23542853489516
P15090,33.28035237411101
P28845,12.363247113273319
P12955,36.012404935229306
P42336,56.20258910505025
Q9UBQ7,80.8509624511651
P02649,47.932877642013906
P16671,41.32222053586861
P33992,42.63129481453923
P09016,76.55004517031327
P35558,42.80727874342555
Q9UBK2,26.508745180901485
P35240,73.57484508892794
O60760,26.836420642481514
O00215,35.86506014238007
Q14126,48.5321120571396
