protein,abundance
P41159,45.7977157762274
P01308,37.93674743200745
P37231,50.67722533753825
Q15848,70.49819932381178
P05231,61.160155863215266
P01375,63.594541991345345
Q12778,61.841422918794834
P35568,54.16392082602305
Q96EB6,27.040608142232916
P14672,40.24760365158187
P31749,42.351157056305105
P01275,37.96189017657521
P05019,18.395599469107303
P01584,24.988988872994625
O60674,32.973768310115396
P28482,88.51892659894243
P42345,26.333412644160394
P29474,49.46340264510662
Q9HAV5,43.386275910238986
O14543,66.23198931164897
P40763,26.13790911325416
P36897,38.266285922245046
P15692,50.795817512143046
Q16665,16.946066816561757
P50416,22.743180466573104
P15090,35.624335366101214
P28845,14.541646198563715
P12955,27.298874747190183
P42336,32.929224628515485
Q9UBQ7,73.69973168122856
P02649,46.353166582666546
P16671,63.71296675031137
P33992,36.20245693015415
P09016,73.31576771053366
P35558,46.142926516904225
Q9UBK2,28.569258568097304
P35240,76.60816354027288
O60760,26.55000263745032
O00215,48.374980023047556
Q14126,25.5457674314834
