protein,abundance
P41159,105.25352589279085
P01308,98.47657499638005
P37231,54.96687142624731
Q15848,72.19815418103806
P05231,52.20164016760904
P01375,74.23535472977407
Q12778,58.15684236265711
P35568,59.44971292146615
Q96EB6,23.593730279716432
P14672,37.79355735276931
P31749,32.29548704888632
P01275,32.59533095979376
P05019,17.224187565618983
P01584,32.81155949043377
O60674,34.76748518833112
P28482,74.8732889420229
P42345,30.90261120854825
P29474,48.52839094330675
Q9HAV5,41.20939046310539
O14543,58.71731519254262
P40763,32.05699589212997
P36897,39.655315806070845
P15692,27.53217060578857
Q16665,29.002329801630957
P50416,15.826039692651769
P15090,24.457710291078598
P28845,18.855295248563344
P12955,28.49110052251093
P42336,34.85715664454948
Q9UBQ7,65.73667859285537
P02649,25.398661308175903
P16671,52.403648588204106
P33992,44.74922299739545
P09016,67.20766590941072
P35558,52.20493875684009
Q9UBK2,13.988938203799178
P35240,40.06146408808073
O60760,24.984963362817943
O00215,29.37580037838351
Q14126,55.24276774073995
