protein,abundance
P41159,178.02427116007235
P01308,153.39212702249216
P37231,47.290459695291105
Q15848,88.62263565263248
P05231,75.00419285158367
P01375,70.55781747988217
Q12778,36.7590869037988
P35568,70.41928932320842
Q96EB6,20.39973644122835
P14672,39.15561752452658
P31749,49.44862575320681
P01275,39.00063893232989
P05019,22.27775103702512
P01584,19.444998457819487
O60674,41.244765720037805
P28482,81.94613398208375
P42345,26.85863161569601
P29474,33.263608203496695
Q9HAV5,31.710660146386093
O14543,51.844613521976314
P40763,37.4551319864085
P36897,34.75483319258538
P15692,43.685791238491674
Q16665,20.403544222312448
P50416,14.091650340191034
P15090,18.55244566955118
P28845,16.175939369306878
P12955,31.281451458780605
P42336,35.83661262966982
Q9UBQ7,46.29102285959327
P02649,73.364890654226
P16671,39.98383897134938
P33992,43.409712704873826
P09016,89.61569256061098
P35558,36.704008605652575
Q9UBK2,25.174713228232914
P35240,67.90695065891754
O60760,23.507800113091673
O00215,43.35455828183025
Q14126,54.245119940096004
