gene,expression
LEP,246.4808532125565
INS,202.1226781269004
PPARG,186.71328083021174
ADIPOQ,101.76581826071366
IL6,114.73860195441665
TNF,109.84541304742822
FOXO1,112.50711008739047
IRS1,93.58366469429872
SIRT1,96.01679742972364
GLUT4,107.25138232171905
AKT1,91.80238908236868
GCG,92.26424395100497
IGF1,104.46973354566177
IL1B,111.41357114735362
JAK2,97.00706990005887
MAPK1,82.55215808419541
MTOR,88.96294127435755
NOS3,103.05508127339647
RETN,102.87281445798948
SOCS3,103.61857206483022
STAT3,107.81942935893635
TGFBR1,100.08715837813675
VEGFA,103.97584067260468
HIF1A,99.324597657567
CPT1A,117.23100224394159
FABP4,121.48513046826253
HSD11B1,82.16483076429948
PDX1,96.1712208684662
PIK3CA,100.49086737311062
FTO,95.99627931978519
APOE,126.8938388699631
CD36,103.35932917134602
HNF4A,87.91942259424485
G6PC,108.94663509341007
SLC2A2,104.06461808269289
UCP1,104.56289379330133
UCP2,127.11814238198785
UCP3,105.26177763632214
SREBF1,95.44507714189005
NR3C1,70.67085360534848
POMC,97.51901472784732
LEPR,119.58954875990783
MC4R,98.63246320665719
NR0B2,66.39925152220745
ANGPTL4,92.5245641171133
APOA5,114.89032808369188
LPIN1,108.18725761843022
CIDEA,87.40178655233896
PLIN1,91.52072835401377
FASN,93.83937011346374
G6PD,90.05929342205604
IL10,69.55489198390626
GCK,111.45386650929784
PTEN,118.85589935033639
RAPTOR,77.2232658405289
CTNNB1,118.65779398879472
IGF2,98.45465197904176
MLXIPL,118.37698522251812
SLC27A1,100.56925654435669
HNF1A,102.03316888237944
KCNJ11,105.58651970473319
ABCA1,88.14900512297083
ABCG1,117.92011216492033
ANGPTL3,83.17929042887823
DGAT1,93.96899883224994
DGAT2,107.86397016464753
ACACA,92.36207139271804
PRKAA1,111.66296861222416
GYS1,120.63799259775934
PRKAB2,115.18819001580755
