gene,expression
LEP,128.2760551569761
INS,99.34808063108774
PPARG,73.18492582102327
ADIPOQ,81.69144843577219
IL6,89.9619590772818
TNF,117.42905976620162
FOXO1,123.29289663758988
IRS1,93.40723186788584
SIRT1,93.88126970843057
GLUT4,103.92434583958699
AKT1,100.18219763609838
GCG,113.96401125961118
IGF1,92.15217859619335
IL1B,114.23714481671497
JAK2,96.41162803195367
MAPK1,112.80962066601784
MTOR,95.93439306567186
NOS3,90.80357975637433
RETN,128.68476459759955
SOCS3,115.97840623820377
STAT3,73.11932349797178
TGFBR1,93.29839732315139
VEGFA,118.07384382667861
HIF1A,82.05009296179716
CPT1A,111.56017494284667
FABP4,110.00584155204687
HSD11B1,89.51280132862124
PDX1,99.86774430631289
PIK3CA,68.64973377054581
FTO,126.55647274850078
APOE,95.36361236204617
CD36,112.05719577064387
HNF4A,109.20762012213137
G6PC,120.36821182149983
SLC2A2,93.50044889646159
UCP1,103.05734091291201
UCP2,108.38663803921791
UCP3,113.08812387145719
SREBF1,117.31531507613386
NR3C1,92.83927404137019
POMC,90.03658835043366
LEPR,120.40167049372258
MC4R,69.44386097541792
NR0B2,123.55048420814009
ANGPTL4,95.46513636885538
APOA5,99.93155756514555
LPIN1,89.76486098319769
CIDEA,99.2770677169628
PLIN1,119.06707338971373
FASN,111.5629465219606
G6PD,107.39029725700608
IL10,101.33309509197615
GCK,78.31585041291876
PTEN,87.3379462972339
RAPTOR,94.85198145053248
CTNNB1,106.86514681643258
IGF2,101.04478996778319
MLXIPL,114.75256459537698
SLC27A1,107.10441081591347
HNF1A,100.81525866907857
KCNJ11,134.13641946350805
ABCA1,106.09340027574892
ABCG1,93.52086697587441
ANGPTL3,127.89950509730394
DGAT1,118.00617322620097
DGAT2,127.24131685365722
ACACA,98.33602096555735
PRKAA1,114.64463689721654
GYS1,78.20725811391459
PRKAB2,111.76009616371252
