protein,abundance
P41159,187.64121158417538
P01308,163.4809730351128
P37231,67.68279637376745
Q15848,95.94739366425803
P05231,51.99179576893872
P01375,78.4684740082973
Q12778,52.57102493553222
P35568,68.69867711936692
Q96EB6,28.64236075553616
P14672,39.67308186566092
P31749,58.16045674864364
P01275,52.90915340364023
P05019,9.293735136115782
P01584,33.46393464760408
O60674,35.022998737548185
P28482,67.1173310658914
P42345,33.8892633614283
P29474,53.11523758691506
Q9HAV5,25.452776020522897
O14543,42.36464955223087
P40763,44.8239106803934
P36897,33.06310146236987
P15692,64.59538769232991
Q16665,15.411334100538022
P50416,17.882873884609175
P15090,26.3681849701493
P28845,17.725941718790885
P12955,20.088009629693858
P42336,41.09727150960849
Q9UBQ7,50.156170747841806
P02649,36.75554503495175
P16671,56.12168276334711
P33992,24.157550698918705
P09016,65.8866607803079
P35558,49.12563142402288
Q9UBK2,21.58615003714065
P35240,40.06164267256093
O60760,19.00461079232558
O00215,46.89842154803487
Q14126,46.51181716941708
