protein,abundance
P41159,32.761727738497314
P01308,41.155188794854546
P37231,74.14886903664282
Q15848,55.60555267699967
P05231,42.430880916459785
P01375,68.06152284440732
Q12778,60.1990695858288
P35568,67.03046691134459
Q96EB6,32.97104697923444
P14672,47.84979832278822
P31749,44.66896498205631
P01275,52.76598717370089
P05019,30.22569956209356
P01584,23.88846815321421
O60674,39.35455162521283
P28482,60.59751553924595
P42345,33.903956639107676
P29474,55.34358374711166
Q9HAV5,20.287389137788345
O14543,51.072796943358796
P40763,22.915033813639123
P36897,33.5945163528673
P15692,47.689535634861166
Q16665,27.65405653346027
P50416,22.204205984467013
P15090,35.41897257150088
P28845,27.170406348998352
P12955,31.260884877173993
P42336,30.80182547009708
Q9UBQ7,53.974316553972216
P02649,48.287975093350305
P16671,56.179973236029106
P33992,48.257895664329624
P09016,85.82529099750003
P35558,39.95767552837046
Q9UBK2,16.721767743374546
P35240,61.465281739662174
O60760,30.59237334013986
O00215,35.72201164088768
Q14126,60.112062680768545
