protein,abundance
P41159,67.17401999814291
P01308,56.513806736185444
P37231,54.682323849745714
Q15848,77.2963257627689
P05231,73.14402207511235
P01375,70.30103949969855
Q12778,57.73562618583218
P35568,52.92984451698025
Q96EB6,27.739351685425312
P14672,40.43180408836112
P31749,40.11749194823484
P01275,47.29970269403991
P05019,23.217498417434467
P01584,26.197664501792033
O60674,35.72007618608958
P28482,64.53295831910233
P42345,45.39608202973577
P29474,45.65619047349537
Q9HAV5,33.821319700091074
O14543,52.201026477776686
P40763,38.32238291749538
P36897,35.153094881849974
P15692,46.59203825262345
Q16665,19.64418878426799
P50416,28.970746563480372
P15090,42.9568079187968
P28845,20.907455378032576
P12955,26.028150103807032
P42336,39.323458485535355
Q9UBQ7,54.997320014342606
P02649,65.84439089147972
P16671,56.3858991341855
P33992,32.801765220568605
P09016,80.35044134933776
P35558,43.14133722421832
Q9UBK2,28.39709006848392
P35240,73.794171450069
O60760,25.178581294242484
O00215,36.889915783684415
Q14126,36.959463371015666
