protein,abundance
P41159,51.58410109193063
P01308,49.367194370108585
P37231,66.05422808371074
Q15848,65.0988893538405
P05231,43.717837949898986
P01375,65.47247034589573
Q12778,49.51160338101378
P35568,60.72210451503786
Q96EB6,24.405969165192793
P14672,35.053022485787295
P31749,37.041593890307006
P01275,46.47246808992603
P05019,29.395932674303957
P01584,30.206423838871036
O60674,41.14323207008758
P28482,104.09107520177123
P42345,38.02966541476722
P29474,47.31790761593571
Q9HAV5,28.7426631585496
O14543,50.34930437224907
P40763,36.90114772487539
P36897,27.251013613343407
P15692,61.761625638601096
Q16665,13.868807256551271
P50416,27.608330919964654
P15090,34.58544860636509
P28845,27.640322766192632
P12955,24.800316231150155
P42336,41.04347096792321
Q9UBQ7,70.37265467306075
P02649,61.4188680731467
P16671,40.76571104837867
P33992,39.18210301913841
P09016,85.51124782048372
P35558,39.56665574612926
Q9UBK2,20.44135296658102
P35240,56.110104465529304
O60760,24.600153047829902
O00215,54.856793698338905
Q14126,39.16363021858209
