protein,abundance
P41159,174.74672899814206
P01308,152.80757906780664
P37231,34.09848743199882
Q15848,60.549918449866134
P05231,50.71941786342263
P01375,70.01457456366532
Q12778,66.86978651174417
P35568,51.47718938672031
Q96EB6,14.507184360814579
P14672,36.72425125043035
P31749,42.803697104291494
P01275,59.15145659021797
P05019,21.558198559122715
P01584,29.19491748600764
O60674,32.64550760509715
P28482,82.10424508628293
P42345,31.53885067365326
P29474,42.9704726354646
Q9HAV5,44.32900972254195
O14543,66.22460737529086
P40763,14.981512645931687
P36897,34.10739890516188
P15692,67.81269446564369
Q16665,12.617429607532179
P50416,24.407737115481655
P15090,39.86717504817017
P28845,23.84062631532111
P12955,19.629658772869096
P42336,28.216310168782673
Q9UBQ7,82.30751536014297
P02649,51.35367381455682
P16671,67.43098170423026
P33992,36.1331001688263
P09016,94.87169143434758
P35558,42.81574466948812
Q9UBK2,28.799204551839424
P35240,66.56937865823693
O60760,31.4012803732363
O00215,54.60931406394835
Q14126,50.24096187608443
