gene,expression
LEP,157.74283302688355
INS,140.0281555341304
PPARG,148.15705812295727
ADIPOQ,97.53155393487108
IL6,79.89170229994258
TNF,113.6950033041145
FOXO1,104.56189256004714
IRS1,103.98847719720773
SIRT1,112.56344055037559
GLUT4,87.79531965910488
AKT1,118.20597156588764
GCG,97.89935722086643
IGF1,113.32898320496312
IL1B,111.01673550231482
JAK2,84.41797257996166
MAPK1,107.54350607371204
MTOR,104.89412006270028
NOS3,100.45467486241513
RETN,98.58442374946928
SOCS3,98.71160125423313
STAT3,112.19034138465993
TGFBR1,108.66865770687265
VEGFA,100.45718275398497
HIF1A,77.62095780292938
CPT1A,107.41665121125428
FABP4,110.85420428766669
HSD11B1,134.50615128170455
PDX1,116.13149594657557
PIK3CA,71.512354181268
FTO,101.17644098527964
APOE,127.17062542997472
CD36,109.35323285352456
HNF4A,104.92978240559813
G6PC,113.50342988372854
SLC2A2,90.66432707513795
UCP1,107.17134994941183
UCP2,96.24297941512134
UCP3,99.70564771284288
SREBF1,112.4268177354266
NR3C1,86.09930346261727
POMC,119.31973710702907
LEPR,93.65782058371686
MC4R,103.90994249725611
NR0B2,78.99238059587586
ANGPTL4,110.79755936307086
APOA5,121.69755903919867
LPIN1,92.2803767617278
CIDEA,83.346649202356
PLIN1,104.16974597114063
FASN,121.82215967487613
G6PD,78.25215151778642
IL10,83.40537728157487
GCK,93.18715662532726
PTEN,87.69484263203957
RAPTOR,87.74221800086507
CTNNB1,68.58819058504335
IGF2,108.83585421108802
MLXIPL,105.08080754304453
SLC27A1,74.51726200294532
HNF1A,121.8579363993437
KCNJ11,125.2163847239573
ABCA1,88.73641675329829
ABCG1,117.49822886465509
ANGPTL3,91.40503292513581
DGAT1,102.71674765316591
DGAT2,87.46356797468637
ACACA,133.21377285193415
PRKAA1,95.55974159005153
GYS1,101.89673534235193
PRKAB2,89.6809391880426
