protein,abundance
P41159,58.91110247058832
P01308,69.46206473692133
P37231,84.47650317730502
Q15848,79.27665869081716
P05231,51.74941110320752
P01375,61.02046152655201
Q12778,57.50643067831144
P35568,66.17540074542607
Q96EB6,17.610862939776876
P14672,31.761266878290915
P31749,36.277197308620416
P01275,55.18774616234875
P05019,31.00827455187344
P01584,28.17204857628096
O60674,35.538180164078184
P28482,79.95866474313742
P42345,28.33186867270222
P29474,70.1070164570984
Q9HAV5,45.55154240367447
O14543,68.70468669848329
P40763,43.340256064104544
P36897,31.64702531333023
P15692,50.21199592241514
Q16665,17.481687987584138
P50416,20.90739355912648
P15090,32.73135026638263
P28845,15.322925479890362
P12955,20.64961703587677
P42336,32.08698661724011
Q9UBQ7,80.62545004755424
P02649,57.871745771286484
P16671,56.10515606128543
P33992,51.977740555014364
P09016,90.02676825843504
P35558,38.92270613111271
Q9UBK2,20.100469563342237
P35240,38.093852027689294
O60760,35.251777041510266
O00215,34.55330299940456
Q14126,35.72968379779908
