protein,abundance
P41159,40.11267579142642
P01308,56.04642533899587
P37231,73.69085618122611
Q15848,75.71926957928217
P05231,78.12099235062067
P01375,63.47290200776846
Q12778,44.95084451344246
P35568,53.230758868884536
Q96EB6,17.01546461459334
P14672,27.14216981728209
P31749,30.548004424027145
P01275,40.11699823177063
P05019,21.746483661001243
P01584,15.68717022360601
O60674,40.25666188669662
P28482,82.9410370610061
P42345,44.19671467871709
P29474,55.73547075159393
Q9HAV5,32.164896154787584
O14543,55.340235177517144
P40763,35.04238542204529
P36897,44.91117589576111
P15692,45.336805786807176
Q16665,22.824117293548472
P50416,19.718701239077873
P15090,40.15901177986639
P28845,21.376949520857696
P12955,17.819087489374233
P42336,38.394285559384485
Q9UBQ7,54.02486698403126
P02649,53.63320813509416
P16671,65.70021583398001
P33992,28.972811785825918
P09016,79.89956715474013
P35558,53.35027930495279
Q9UBK2,16.63548724411708
P35240,52.70664427254523
O60760,28.16997690023465
O00215,37.67493494114673
Q14126,54.11254787801687
