gene,expression
LEP,197.45860717506676
INS,215.26963302332751
PPARG,105.85379903474713
ADIPOQ,98.72636751256252
IL6,103.55986577139615
TNF,104.10366104707943
FOXO1,89.13997305093551
IRS1,92.01129546669394
SIRT1,107.92474914445565
GLUT4,103.11255227738704
AKT1,130.6498073452346
GCG,124.29418233155967
IGF1,113.99518210582525
IL1B,88.57397626408272
JAK2,91.53164495095638
MAPK1,84.96929914556898
MTOR,104.19636024680064
NOS3,58.885677333104475
RETN,93.12071084585502
SOCS3,95.39925401017274
STAT3,77.13564200245011
TGFBR1,111.96604471867951
VEGFA,82.91287407115176
HIF1A,104.01613998554892
CPT1A,141.75666135233575
FABP4,75.83491585067168
HSD11B1,97.77172892489426
PDX1,93.88809793547102
PIK3CA,90.97046981655423
FTO,111.4037664195304
APOE,116.59493657242663
CD36,111.57457223952004
HNF4A,89.1499137632315
G6PC,136.50772117603623
SLC2A2,73.44635217487162
UCP1,84.51056396448558
UCP2,102.54593926585561
UCP3,101.34090878718474
SREBF1,107.32066119068124
NR3C1,123.70201142612802
POMC,98.20223620951602
LEPR,101.70594190319471
MC4R,91.08225920913625
NR0B2,108.82492777690963
ANGPTL4,95.2228223402449
APOA5,95.21414468400485
LPIN1,108.15224729445666
CIDEA,115.52381390620899
PLIN1,66.87840172489184
FASN,105.41167637010142
G6PD,95.94695021983692
IL10,114.21425406492114
GCK,96.24816098388233
PTEN,119.51578649743449
RAPTOR,89.85380469273942
CTNNB1,66.54505138561166
IGF2,115.77389561007499
MLXIPL,87.34682556631793
SLC27A1,76.2962209488471
HNF1A,100.24080127965897
KCNJ11,96.41232000954747
ABCA1,112.3465746361751
ABCG1,113.38616229722817
ANGPTL3,101.43430668834088
DGAT1,86.72776087123023
DGAT2,104.30411891836447
ACACA,102.47791570180866
PRKAA1,108.53405011704463
GYS1,86.87789929382947
PRKAB2,93.9944069024867
