protein,abundance
P41159,54.03610121630624
P01308,57.81967850126916
P37231,69.50812189938355
Q15848,78.54470436327962
P05231,56.33352945664914
P01375,51.674817674514806
Q12778,67.22138977106141
P35568,73.14148956861713
Q96EB6,29.332336564730156
P14672,36.5163224069352
P31749,47.09835492345593
P01275,57.9286760459737
P05019,22.696236996952337
P01584,24.694964451875652
O60674,26.03637295525664
P28482,58.265565413604506
P42345,27.431955055134683
P29474,65.01007891211233
Q9HAV5,21.84016422452646
O14543,56.788453666039615
P40763,39.03686498557874
P36897,21.332442529995248
P15692,60.83056834569473
Q16665,25.178958064929493
P50416,20.913115682018923
P15090,48.43911901661324
P28845,17.80474385766193
P12955,28.077520656195738
P42336,34.471374160855675
Q9UBQ7,53.39151936004336
P02649,50.9004901637591
P16671,63.9687618793489
P33992,31.414046498544838
P09016,60.22035731588193
P35558,31.252784695957246
Q9UBK2,23.795410014844617
P35240,49.05963462439374
O60760,20.76527266396865
O00215,47.236197245138676
Q14126,66.10483437563744
