protein,abundance
P41159,171.69423500938063
P01308,162.35701993018205
P37231,77.71482843918804
Q15848,67.955724994149
P05231,60.31281764926627
P01375,76.10272810504895
Q12778,37.115727486543896
P35568,68.47665912208356
Q96EB6,16.081408055552863
P14672,34.62168514862138
P31749,40.51998695977328
P01275,49.23005049354318
P05019,13.44864066192683
P01584,17.92186210820951
O60674,40.12573499764632
P28482,88.7842538114426
P42345,44.14007355902276
P29474,50.570148152230395
Q9HAV5,39.88310933826767
O14543,42.526747635839904
P40763,30.029249898319073
P36897,33.70275671468111
P15692,48.103167068321284
Q16665,25.106728021887918
P50416,23.100668603945678
P15090,35.64126910120499
P28845,30.407815887685107
P12955,33.11234644047498
P42336,47.065118140350826
Q9UBQ7,63.26973652996381
P02649,65.8978759064307
P16671,47.396110631470904
P33992,25.361652758853786
P09016,80.17431650048756
P35558,24.659135538134453
Q9UBK2,18.99466836296538
P35240,44.94339957176784
O60760,35.225841753341896
O00215,41.19711994327995
Q14126,37.63191143455418
