protein,abundance
P41159,115.73181510183844
P01308,86.94389120811451
P37231,60.53354331006673
Q15848,69.73792936552903
P05231,43.92028882071578
P01375,63.9107122058415
Q12778,46.85037216224546
P35568,57.07979110735832
Q96EB6,38.6248765605189
P14672,28.04256201584683
P31749,49.77421857063621
P01275,30.024279516451735
P05019,11.93876958162161
P01584,25.08239617208734
O60674,20.670297733424835
P28482,81.84497320197474
P42345,44.55335078196591
P29474,49.09763112579995
Q9HAV5,27.306554970992718
O14543,61.297871959408226
P40763,48.667614119526654
P36897,20.956324417853263
P15692,39.883940301518194
Q16665,12.243232805423986
P50416,19.48703487576777
P15090,30.07188126347248
P28845,16.8148830934416
P12955,19.597277238412524
P42336,33.105141214424094
Q9UBQ7,60.04894251122663
P02649,59.83102314740643
P16671,53.52326861220814
P33992,36.99580141424763
P09016,67.47618984889193
P35558,38.52798214049305
Q9UBK2,27.817299421139918
P35240,66.48428838133768
O60760,29.008048340349042
O00215,40.245202528074984
Q14126,46.43544244303471
