protein,abundance
P41159,40.26919183465507
P01308,59.94389924336972
P37231,57.62550031284023
Q15848,96.7723363236832
P05231,69.21615853340438
P01375,73.67052031278226
Q12778,50.15892581000443
P35568,60.23980393755869
Q96EB6,14.975889735938825
P14672,29.14515711449792
P31749,38.5592867200724
P01275,57.13505127473414
P05019,36.20319629831058
P01584,35.88031979385965
O60674,33.72358557216969
P28482,86.10147654971485
P42345,40.027567929613745
P29474,55.28274062463052
Q9HAV5,24.061189065490275
O14543,63.42239344053659
P40763,43.83631330510917
P36897,27.5388602907601
P15692,54.916306650527055
Q16665,24.37705776254425
P50416,18.775907693802814
P15090,27.313504766046215
P28845,17.680289035380692
P12955,35.25618477287457
P42336,29.23350844928822
Q9UBQ7,82.53608088684781
P02649,40.047161527381206
P16671,54.02993089913132
P33992,43.23659036263102
P09016,77.61446690656888
P35558,53.99797892275993
Q9UBK2,26.33696580852479
P35240,60.52697407622148
O60760,31.49969081394376
O00215,44.34820816949137
Q14126,37.9122865841149
