protein,abundance
P41159,34.24134113330723
P01308,36.20123931658223
P37231,53.18058552638607
Q15848,79.29321630919155
P05231,63.272826484851656
P01375,64.53109345658571
Q12778,45.71289336943773
P35568,56.290826916691685
Q96EB6,23.780463074070873
P14672,23.76098792507161
P31749,33.398674736546646
P01275,52.53723366049751
P05019,26.549154624994483
P01584,41.78861088445743
O60674,37.86185049379405
P28482,78.01305090770633
P42345,27.343515388410125
P29474,50.31188790258193
Q9HAV5,26.740286886299568
O14543,54.74294234910847
P40763,35.356875397064215
P36897,29.416692425002818
P15692,63.519612702514245
Q16665,20.334085334195088
P50416,27.627716993646533
P15090,23.7237290762547
P28845,12.743130292448193
P12955,37.39634073955045
P42336,44.907781324595845
Q9UBQ7,61.371609379797114
P02649,43.070362199723476
P16671,57.52715703359
P33992,35.57138845095685
P09016,97.32945490695825
P35558,64.29830666992251
Q9UBK2,25.649830420166083
P35240,55.602290651792295
O60760,24.813116335675133
O00215,39.81742731321832
Q14126,52.600843054438876
