gene,expression
LEP,138.36876656439216
INS,134.3509484344857
PPARG,86.9457805996052
ADIPOQ,104.01626836546693
IL6,121.89240405075282
TNF,74.7203359185709
FOXO1,104.7157524108227
IRS1,99.96874303869724
SIRT1,106.21812721569682
GLUT4,88.41543962010287
AKT1,78.4657175767984
GCG,71.30340362231462
IGF1,114.64575930193155
IL1B,116.56073704725031
JAK2,104.54028023493979
MAPK1,91.98777475467855
MTOR,75.65431159801382
NOS3,108.45018193757537
RETN,83.48831075744972
SOCS3,89.33052062859193
STAT3,91.20153880655921
TGFBR1,97.03697161454548
VEGFA,88.61439329187027
HIF1A,100.50188156488454
CPT1A,90.67272549240413
FABP4,110.52059597258834
HSD11B1,115.4659437098208
PDX1,101.62814014042658
PIK3CA,106.93939503071654
FTO,131.76783924438834
APOE,82.41095114708025
CD36,81.49797848079842
HNF4A,110.42496851165312
G6PC,129.19814256272147
SLC2A2,96.09252157091916
UCP1,125.9025076332814
UCP2,101.44650578190235
UCP3,89.78669076941378
SREBF1,85.13961417043444
NR3C1,109.44120377330181
POMC,86.27561398325955
LEPR,101.21915264150542
MC4R,123.75197538076141
NR0B2,95.39829410692944
ANGPTL4,119.71014211965849
APOA5,81.7818476541039
LPIN1,91.991363480248
CIDEA,78.89283960677625
PLIN1,101.09495133960036
FASN,111.70117269574874
G6PD,101.1278063140928
IL10,118.40575089955227
GCK,88.76231139056304
PTEN,103.38014130533601
RAPTOR,92.08796014579215
CTNNB1,105.42514878135482
IGF2,107.55604069318639
MLXIPL,108.73593939976094
SLC27A1,83.94108492646598
HNF1A,86.65380847320147
KCNJ11,89.43568437713216
ABCA1,96.41678878200103
ABCG1,101.30779606309645
ANGPTL3,110.62133682785014
DGAT1,87.27851950991152
DGAT2,75.98471053447372
ACACA,132.33614744810185
PRKAA1,83.02820469021356
GYS1,112.54485584493327
PRKAB2,100.46900315873012
