protein,abundance
P41159,47.12772909056226
P01308,63.133707664635025
P37231,55.6363828956611
Q15848,73.72118290912668
P05231,58.92814126919753
P01375,72.85538849435278
Q12778,54.319871836913904
P35568,51.25302299534598
Q96EB6,27.690522648813158
P14672,28.991103210994847
P31749,33.439963745121815
P01275,43.97492963771736
P05019,24.11557920679184
P01584,22.590942481162706
O60674,39.22950471730379
P28482,86.74956426433332
P42345,32.85757318554457
P29474,56.946659771192444
Q9HAV5,15.763820800795003
O14543,85.68931505818422
P40763,38.62520047692115
P36897,30.955182456524394
P15692,52.323477812459714
Q16665,30.61666281860174
P50416,16.44241456501294
P15090,35.443852408355596
P28845,26.601741568065698
P12955,23.88324691488237
P42336,50.70632659123217
Q9UBQ7,68.92191205072109
P02649,50.754711016340266
P16671,62.41082723024881
P33992,40.64511825199266
P09016,77.7445398881636
P35558,44.01883449542385
Q9UBK2,28.272427697346465
P35240,61.407881946762856
O60760,25.306822900823235
O00215,28.823123966411504
Q14126,53.38012030402888
