gene,expression
LEP,97.63414062618845
INS,79.67413066723101
PPARG,160.48900606026965
ADIPOQ,72.84803012505975
IL6,71.30940224403672
TNF,105.43714688207953
FOXO1,108.57021265490182
IRS1,114.55785730019817
SIRT1,111.12944524794197
GLUT4,122.14987938144444
AKT1,110.50364430043629
GCG,98.01550834086306
IGF1,98.8958332631214
IL1B,95.76668216519184
JAK2,104.43216286634775
MAPK1,83.53981197150013
MTOR,105.11383297838431
NOS3,98.7037973975258
RETN,104.13452736831111
SOCS3,104.18084552455991
STAT3,63.216030980264
TGFBR1,86.48059272002997
VEGFA,98.37057003866717
HIF1A,99.1677256255349
CPT1A,103.89083963499542
FABP4,104.53522435497464
HSD11B1,122.74349984400844
PDX1,104.68687721646921
PIK3CA,95.30464437675339
FTO,76.01314791193776
APOE,79.47114826687215
CD36,108.03237714962808
HNF4A,115.90670221165702
G6PC,123.12056495377274
SLC2A2,87.5816038162643
UCP1,95.4420334685361
UCP2,103.63500529124669
UCP3,130.71098381695356
SREBF1,101.72292202320844
NR3C1,123.26894282099457
POMC,102.54959354360962
LEPR,117.29867779642683
MC4R,115.39869769828117
NR0B2,102.49132198762227
ANGPTL4,84.69425129106767
APOA5,95.96358343106574
LPIN1,122.33567760826719
CIDEA,113.16737752720171
PLIN1,93.49524509842229
FASN,94.86537042063401
G6PD,74.0369034435165
IL10,121.66508187972717
GCK,113.2909534036923
PTEN,97.94383268437221
RAPTOR,103.00201628760134
CTNNB1,67.43701257804385
IGF2,92.69928255935876
MLXIPL,120.01668461296204
SLC27A1,114.72321065095122
HNF1A,104.96050835595898
KCNJ11,99.77922612047595
ABCA1,111.9460814454449
ABCG1,95.7792234017337
ANGPTL3,75.02960205707488
DGAT1,99.90701290489191
DGAT2,106.04678990628366
ACACA,116.84016527197032
PRKAA1,78.38206359256002
GYS1,98.15633040172817
PRKAB2,98.87044517867315
