protein,abundance
P41159,55.11374924874199
P01308,68.23250142957826
P37231,38.17804881652945
Q15848,101.75766462245399
P05231,43.171840597720525
P01375,66.30057590919854
Q12778,65.11574671209947
P35568,54.897576014201675
Q96EB6,22.726367284264384
P14672,32.582205438468854
P31749,38.650336551457976
P01275,35.73523712793157
P05019,22.812518202503508
P01584,27.96881660150653
O60674,34.794933841613144
P28482,67.47711333007913
P42345,30.47746705528327
P29474,43.54494299971118
Q9HAV5,25.667616178465437
O14543,62.3623630538773
P40763,45.98112215680081
P36897,47.39220537442587
P15692,49.79576031344643
Q16665,22.987361464575443
P50416,14.141597262046352
P15090,38.13487458448393
P28845,12.65032844644115
P12955,21.79150200100718
P42336,46.14402320615259
Q9UBQ7,91.98341878780654
P02649,49.0134776681399
P16671,53.225663727835325
P33992,41.93003728138583
P09016,64.55001844354953
P35558,40.19887606760662
Q9UBK2,35.70478627976296
P35240,54.19814519295161
O60760,12.8365476953552
O00215,48.77458598741666
Q14126,56.57475074441203
