gene,expression
LEP,105.08840650436711
INS,109.53591504266564
PPARG,70.59762987559252
ADIPOQ,130.90837924924077
IL6,82.10410067634646
TNF,99.3986723101517
FOXO1,117.52326582725297
IRS1,87.05641991874252
SIRT1,65.45954515682925
GLUT4,93.32581359812993
AKT1,86.87769429885822
GCG,65.85439737111997
IGF1,104.27334838858299
IL1B,103.10640793349427
JAK2,117.13489681807528
MAPK1,83.1876645171942
MTOR,76.01295270329481
NOS3,93.89915375430124
RETN,98.67486011486358
SOCS3,113.82024404479745
STAT3,121.15852007507738
TGFBR1,118.21718700861021
VEGFA,104.14815500339
HIF1A,111.99248880256222
CPT1A,90.39259847846223
FABP4,102.5259278871287
HSD11B1,82.13064791068291
PDX1,100.9402809533031
PIK3CA,101.32970046097019
FTO,125.83192908527455
APOE,96.56525707764631
CD36,101.35064256479929
HNF4A,103.55442123568064
G6PC,93.17769526167321
SLC2A2,87.96260900182529
UCP1,119.48216987270578
UCP2,85.28623835559553
UCP3,80.0812289246909
SREBF1,110.2039806894322
NR3C1,117.36722263036015
POMC,93.22885513599041
LEPR,93.45919768525181
MC4R,104.2381528916019
NR0B2,89.38220984885226
ANGPTL4,88.27431219082047
APOA5,113.19388881979549
LPIN1,109.10696651175428
CIDEA,119.66738329477158
PLIN1,81.21116481451756
FASN,92.46306269634076
G6PD,104.21769343404179
IL10,86.11568725338451
GCK,109.62531155731975
PTEN,118.36940630839499
RAPTOR,91.24963041658978
CTNNB1,100.5788791034055
IGF2,121.83428035121675
MLXIPL,126.98907362528499
SLC27A1,111.18701876590606
HNF1A,108.90143759790413
KCNJ11,87.19395197972632
ABCA1,105.38814100686761
ABCG1,108.35231261162497
ANGPTL3,96.84444762158431
DGAT1,91.07835618166507
DGAT2,80.78053489784718
ACACA,73.93405367423061
PRKAA1,70.78174730018256
GYS1,108.69163859300892
PRKAB2,102.21548987840166
