protein,abundance
P41159,90.99395496775583
P01308,99.61060284275013
P37231,66.49284286045925
Q15848,70.56003293019533
P05231,48.91035921609174
P01375,68.5436085502727
Q12778,41.16972995368231
P35568,53.5600530619432
Q96EB6,27.853340434702154
P14672,32.06883986069323
P31749,55.194468466595254
P01275,67.83574036651001
P05019,26.882452476009227
P01584,26.850362912722527
O60674,30.420507306079177
P28482,73.48649174954926
P42345,42.30639051152616
P29474,27.003866895075678
Q9HAV5,24.46461965584679
O14543,58.892595638213955
P40763,25.743870179574113
P36897,36.64762736426415
P15692,39.64070259953279
Q16665,27.09640016903721
P50416,26.808159124620698
P15090,24.209618379078066
P28845,19.82787054021801
P12955,30.187402833570676
P42336,39.6891779461024
Q9UBQ7,73.5631367198996
P02649,59.84679482301909
P16671,63.61830824056711
P33992,28.48840733477236
P09016,108.83906032866632
P35558,29.665906436911417
Q9UBK2,26.91055632061935
P35240,65.13012304589246
O60760,28.633343161349515
O00215,45.35420405023982
Q14126,68.52039474270875
