protein,abundance
P41159,67.55196100856122
P01308,53.083524874004496
P37231,66.55184494518633
Q15848,69.22890846227342
P05231,37.14795574378719
P01375,80.92434654651731
Q12778,55.596576984447466
P35568,57.211876730310564
Q96EB6,21.52518527805905
P14672,40.86815705897811
P31749,47.45215956567634
P01275,35.284508056400256
P05019,22.054120864573076
P01584,22.351801651474062
O60674,27.32125675265162
P28482,87.76843782017906
P42345,42.90215500083775
P29474,53.93353989858336
Q9HAV5,38.61485213042562
O14543,59.29995763196391
P40763,42.55022097387833
P36897,31.942734146121875
P15692,42.490229692224126
Q16665,14.501405118651874
P50416,30.502347811458108
P15090,31.655040428886238
P28845,30.36280852283157
P12955,33.42730737511266
P42336,28.844331971355682
Q9UBQ7,69.61705039752621
P02649,62.81130102350171
P16671,56.59775755183495
P33992,44.09641503596362
P09016,91.97835779678115
P35558,47.89966726413271
Q9UBK2,32.422836170527376
P35240,50.84441088076792
O60760,25.596776727865205
O00215,41.5395359150437
Q14126,33.61108677667715
